,mecid,committee_name,candidate_name,party,office_sought,report,report_year,report_type,previous_receipts,contributions_received,loans_received,misc_receipts,receipts_subtotal,in_kind_contributions,total_receipts_this_election,previous_expenditures,cash_or_check_expenditures,in_kind_expenditures,credit_expenditures,expenditure_subtotal,total_expenditures,previous_contributions,cash_check_contributions,credit_contributions,in_kind_contributions1,contribution_subtotal,total_contributions,loan_disbursements,disbursements_payments,misc_disbursements,total_disbursements,starting_money_on_hand,monetary_receipts,check_disbursements,cash_disbursements,total_monetary_disbursements,ending_money_on_hand,outstanding_indebtedness,loans_recieved,new_expenditures,new_contributions,payments_made_on_loan,debt_forgiven_on_loans,total_indebtendness,prefix,month_num
61,C091129,Parson For Missouri,MIKE PARSON,R,Governor - Office of the Governor,AMENDED January Quarterly Report,2020,Full Disclosure,1982055.08,539105.0,0.0,1933.13,546449.42,5411.29,2528504.5,569595.95,371024.79,0.0,8111.75,379136.54,948732.49,7960.0,0.0,0.0,0.0,0.0,7960.0,1551.33,0.0,35839.13,37390.46,1256703.27,541038.13,408415.25,0.0,408415.25,1389326.15,412.44,0.0,8111.75,0.0,1551.33,0.0,6972.86,C,1
62,C091129,Parson For Missouri,MIKE PARSON,R,Governor - Office of the Governor,AMENDED April Quarterly Report,2020,Full Disclosure,2528504.5,332587.0,0.0,2047.97,336634.97,2000.0,2865139.47,948732.49,269888.52,0.0,20003.14,289891.66,1238624.15,7960.0,0.0,0.0,15000.0,15000.0,22960.0,21901.05,0.0,20670.79,42571.84,1389326.15,334634.97,311782.7,677.66,312460.36,1411500.76,6972.86,0.0,20003.14,0.0,21901.05,0.0,5074.95,C,4
63,C091129,Parson For Missouri,MIKE PARSON,R,Governor - Office of the Governor,AMENDED July Quarterly Report,2020,Full Disclosure,2864639.47,479479.16,0.0,1513.13,481641.07,648.78,3346280.54,1238624.15,302354.27,0.0,31697.41,334051.68,1572675.83,22960.0,0.0,0.0,0.0,0.0,22960.0,24323.47,0.0,20849.0,45172.47,1411500.76,480992.29,347526.74,0.0,347526.74,1544966.31,5074.95,0.0,31697.41,0.0,24323.47,0.0,12448.89,C,6
58,C111091,Nicole Galloway For Missouri,Nicole Galloway,D,Governor - Office of the Governor,January Quarterly Report,2020,Full Disclosure,776899.47,440668.74,0.0,0.0,446086.6,5417.86,1222986.07,264079.58,248995.5,0.0,0.0,248995.5,513075.08,2600.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0,1699.66,1699.66,540315.54,440668.74,250695.16,0.0,250695.16,730289.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,1
59,C111091,Nicole Galloway For Missouri,Nicole Galloway,D,Governor - Office of the Governor,April Quarterly Report,2020,Full Disclosure,1222986.07,640281.55,0.0,0.0,642523.55,2242.0,1865509.62,513075.08,345063.37,0.0,0.0,345063.37,858138.45,2600.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0,6000.0,6000.0,730289.12,640281.55,351063.37,0.0,351063.37,1019507.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,4
60,C111091,Nicole Galloway For Missouri,Nicole Galloway,D,Governor - Office of the Governor,AMENDED July Quarterly Report,2020,Full Disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,6
22,C190998,Combs for Missouri,Rik Combs,L,Governor - Office of the Governor,January Quarterly Report,2020,Full Disclosure,0.0,699.59,0.0,0.0,831.76,132.17,831.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.59,0.0,0.0,0.0,699.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,1
23,C190998,Combs for Missouri,Rik Combs,L,Governor - Office of the Governor,April Quarterly Report,2020,Full Disclosure,831.76,19.12,0.0,0.0,219.12,200.0,1050.88,0.0,678.67,0.0,0.0,678.67,678.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.59,19.12,678.67,0.0,678.67,40.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,4
24,C190998,Combs for Missouri,Rik Combs,L,Governor - Office of the Governor,July Quarterly Report,2020,Full Disclosure,1050.88,980.7,0.0,0.0,980.7,0.0,2031.58,678.67,0.0,0.0,0.0,0.0,678.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.04,980.7,0.0,0.0,0.0,1020.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,6
25,C190998,Combs for Missouri,Rik Combs,L,Governor - Office of the Governor,October Quarterly Report,2020,Full Disclosure,2771.3,72.11,0.0,0.0,176.55,104.44,2947.85,1921.7,160.86,0.0,0.0,160.86,2082.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.81,72.11,160.86,0.0,160.86,79.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,10
