CD3_C ID, MECID,Committee Name,Committee,Address 1,Address 2,City,State,Zip,Date,Amount,Contribution Type,Report
"145663","C151169","Citizens For Derek Grier","House Republican Campaign Committee","PO Box 1313","","Jefferson City","MO","65102","1/14/2020 12:00:00 AM","1500.0000","M","April Quarterly Report"
"145670","C151169","Citizens For Derek Grier","Missouri Republican Party","3444 Hobbs Land","","Jefferson City","","65109","2/25/2020 12:00:00 AM","50.0000","M","April Quarterly Report"
"145671","C151169","Citizens For Derek Grier","Republican Central Missouri - St. Louis County","1283 Chambers","","St Louis","MO","63137","3/15/2020 12:00:00 AM","600.0000","M","April Quarterly Report"
"145678","C121425","Cedar County Democrat Commitee PAC","FRIENDS OF LYNZ","P.O. BOX 413","","HALLSVILLE","MO","65255","2/4/2020 12:00:00 AM","100.0000","M","April Quarterly Report"
"145681","C171047","House Democratic Campaign Committee","Maggie Nurrenbern for Missouri","PO BOX 46908","NA","Gladstone","MO","64188","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145682","C171047","House Democratic Campaign Committee","The Committee to Elect James Shackelford","PO Box 11194","","Kansas City","MO","64119","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145683","C171047","House Democratic Campaign Committee","Ingrid Burnett For Missouri","3418 Gladstone Blvd","","Kansas City","MO","64123","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145684","C171047","House Democratic Campaign Committee","Emily Weber For Missouri","PO box 5971","","Kansas City","MO","64171","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145685","C171047","House Democratic Campaign Committee","Manlove For Missouri","PO Box 300904","","Kansas City","MO","64130","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145686","C171047","House Democratic Campaign Committee","Dolan for Missouri","PO Box 755","","Blue Springs","MO","64014","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145687","C171047","House Democratic Campaign Committee","Committee To Elect Keri Ingle","3104 SW Muir Dr","","Lees Summit","MO","64081","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145688","C171047","House Democratic Campaign Committee","Committee to Elect Bill Otto","12 Seabiscuit Dr","","St Charles","MO","63301","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145689","C171047","House Democratic Campaign Committee","Joe Adams For Missouri","924 Wild Cherry Lane","","University City","MO","63130","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145690","C171047","House Democratic Campaign Committee","Committee to Elect Ian Mackey","1014 Commodore Dr","","Richmond Heights","MO","63117","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145691","C171047","House Democratic Campaign Committee","Citizens for Phifer","PO Box 220005","","Saint Louis","MO","63122","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145692","C171047","House Democratic Campaign Committee","Sarah Unsicker For State Representative","5008 Exeter Ave","","Saint Louis","MO","63119","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145693","C171047","House Democratic Campaign Committee","Citizens for Bridget Walsh Moore","4327 Mohegan Dr","","St Louis","MO","63123","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145694","C171047","House Democratic Campaign Committee","Friends Of Erica Hoffman","PO Box 1073","","Fenton","MO","63026","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145695","C171047","House Democratic Campaign Committee","Friends of Trish Gunby","1406 Redwood Forest Dr","","Manchester","MO","63021","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145696","C171047","House Democratic Campaign Committee","Webb For House Rep","15455 Manchester Road","142","Ballwin","MO","63011","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145697","C171047","House Democratic Campaign Committee","Burgess 4 Missouri","PO Box 206","","Barnhart","MO","63012","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145698","C171047","House Democratic Campaign Committee","Citizens For Theresa Schmitt","PO Box 673","","Cuba","MO","65453","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145699","C171047","House Democratic Campaign Committee","Dave Gragg For Missouri","510 N West Bypass","","Springfield","MO","65802","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145700","C171047","House Democratic Campaign Committee","Citizens For Crystal Quade","PO Box 336","","Springfield","MO","65801","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145701","C171047","House Democratic Campaign Committee","Cindy Slimp For The People","PO Box 14697","","Springfield","MO","65814","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145702","C171047","House Democratic Campaign Committee","Fogle for Missouri","1325 E University","","Springfield","MO","65804","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
"145703","C171047","House Democratic Campaign Committee","Munzinger For Missouri 136","2010 Shady Hill Lane","","Springfield","MO","65809","2/25/2020 12:00:00 AM","290.0000","I","April Quarterly Report"
