index,office_sought
Circuit Judge,9
Committeewoman - City of St. Louis,7
Secretary of State - Office of the Secretary of State,5
Governor - Office of the Governor,5
Committeeman - City of St. Louis,5
Associate Commissioner - Scott County,4
State Representative - District 53 - Missouri House of Representatives,4
Lieutenant Governor - Office of the Lieutenant Governor,4
State Treasurer - Office of the State Treasurer,4
County Executive - St. Louis County,4
State Representative - District 37 - Missouri House of Representatives,3
State Representative - District 13 - Missouri House of Representatives,3
Associate Commissioner - Bates County,3
Associate Commissioner - Livingston County,3
Associate Circuit Judge - St. Charles County,3
Assessor - Clark County,3
State Representative - District 88 - Missouri House of Representatives,3
State Representative - District 135 - Missouri House of Representatives,3
State Senator - District 19 - Missouri State Senate,3
State Representative - District 129 - Missouri House of Representatives,3
Coroner - Barry County,3
Associate Commissioner - St. Francois County,3
Attorney General,3
Associate Commissioner - Phelps County,3
State Representative - District 20 - Missouri House of Representatives,3
Associate Commissioner - Callaway County,3
State Representative - District 107 - Missouri House of Representatives,3
State Senator - District 7 - Missouri State Senate,3
State Representative - District 62 - Missouri House of Representatives,3
State Representative - District 51 - Missouri House of Representatives,3
Associate Commissioner - Texas County,3
State Representative - District 137 - Missouri House of Representatives,2
State Representative - District 126 - Missouri House of Representatives,2
Associate Commissioner - Vernon County,2
State Representative - District 16 - Missouri House of Representatives,2
Associate Commissioner - Monroe County,2
Associate Commissioner - Johnson County,2
Committeeman - St. Louis County,2
State Representative - District 78 - Missouri House of Representatives,2
State Representative - District 72 - Missouri House of Representatives,2
Public Administrator - Cooper County,2
Prosecuting Attorney - Jackson County,2
State Representative - District 113 - Missouri House of Representatives,2
State Senator - District 17 - Missouri State Senate,2
State Representative - District 21 - Missouri House of Representatives,2
Coroner - Livingston County,2
State Representative - District 31 - Missouri House of Representatives,2
State Representative - District 139 - Missouri House of Representatives,2
State Representative - District 82 - Missouri House of Representatives,2
State Senator - District 27 - Missouri State Senate,2
State Representative - District 100 - Missouri House of Representatives,2
State Representative - District 110 - Missouri House of Representatives,2
State Representative - District 15 - Missouri House of Representatives,2
State Representative - District 6 - Missouri House of Representatives,2
Collector-Treasurer - Livingston County,2
State Representative - District 120 - Missouri House of Representatives,2
State Representative - District 98 - Missouri House of Representatives,2
State Representative - District 30 - Missouri House of Representatives,2
Associate Commissioner - Eastern District - Randolph County,2
State Representative - District 90 - Missouri House of Representatives,2
State Representative - District 136 - Missouri House of Representatives,2
Associate Commissioner - Ray County,2
Circuit Attorney - City of St. Louis,2
County Council - District 6 - St. Louis County,2
State Representative - District 99 - Missouri House of Representatives,2
State Senator - District 5 - Missouri State Senate,2
State Representative - District 104 - Missouri House of Representatives,2
State Representative - District 2 - Missouri House of Representatives,2
State Representative - District 133 - Missouri House of Representatives,2
State Senator - District 33 - Missouri State Senate,2
State Representative - District 95 - Missouri House of Representatives,2
Associate Commissioner - Ripley County,2
State Representative - District 36 - Missouri House of Representatives,2
State Senator - District 23 - Missouri State Senate,2
Sheriff - Reynolds County,2
State Representative - District 103 - Missouri House of Representatives,2
State Representative - District 9 - Missouri House of Representatives,2
Public Administrator - Clay County,2
State Representative - District 115 - Missouri House of Representatives,2
State Representative - District 54 - Missouri House of Representatives,2
State Representative - District 134 - Missouri House of Representatives,2
Associate Commissioner - Chariton County,2
State Representative - District 60 - Missouri House of Representatives,2
State Representative - District 17 - Missouri House of Representatives,2
State Representative - District 128 - Missouri House of Representatives,2
Associate Commissioner - Adair County,2
State Representative - District 14 - Missouri House of Representatives,2
State Representative - District 122 - Missouri House of Representatives,2
State Representative - District 29 - Missouri House of Representatives,2
State Representative - District 89 - Missouri House of Representatives,2
Associate Commissioner - Moniteau County,2
Sheriff - Ray County,2
State Representative - District 70 - Missouri House of Representatives,2
State Representative - District 92 - Missouri House of Representatives,2
Associate Commissioner - Perry County,2
State Representative - District 155 - Missouri House of Representatives,2
Sheriff - Pettis County,2
State Representative - District 147 - Missouri House of Representatives,2
Associate Commissioner - Ralls County,2
State Representative - District 130 - Missouri House of Representatives,2
County Council - District 2 - St. Louis County,2
State Representative - District 50 - Missouri House of Representatives,2
Associate Commissioner - Camden County,2
State Representative - District 34 - Missouri House of Representatives,2
Council Person - City of St. Charles,2
Sheriff - City of St. Louis,2
Sheriff - Boone County,2
Auditor - Saline County,2
